Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Sudan Archaeological Sites | Archaeolist,/sites/sudan,17,10,1.7,69.3,46,0,0
Argentina Archaeological Sites | Archaeolist,/sites/argentina,16,7,2.2857142857142856,46.42857142857143,37,0,0
Lebanon Archaeological Sites | Archaeolist,/sites/lebanon,16,15,1.0666666666666667,19.2,52,0,0
Mexico Archaeological Sites | Archaeolist,/sites/mexico,16,12,1.3333333333333333,38.75,44,0,0
Cyprus Archaeological Sites | Archaeolist,/sites/cyprus,15,11,1.3636363636363635,37.36363636363637,47,0,0
Greenland Archaeological Sites | Archaeolist,/sites/greenland,15,12,1.25,13.75,43,0,0
Bilche-Zolote | Ukraine | Archaeolist,/sites/ukraine/bilche-zolote,14,8,1.75,53.625,36,0,0
Chile Archaeological Sites | Archaeolist,/sites/chile,14,9,1.5555555555555556,30.22222222222222,37,0,0
Denmark Archaeological Sites | Archaeolist,/sites/denmark,14,13,1.0769230769230769,9.384615384615385,40,0,0
Diepkloof Rock Shelter | South Africa | Archaeolist,/sites/south-africa/diepkloof-rock-shelter,14,6,2.3333333333333335,83.33333333333333,46,0,0
Serbia Archaeological Sites | Archaeolist,/sites/serbia,14,10,1.4,23.8,39,0,0
South Korea Archaeological Sites | Archaeolist,/sites/south-korea,14,9,1.5555555555555556,17,45,0,0
Tunisia Archaeological Sites | Archaeolist,/sites/tunisia,14,11,1.2727272727272727,16.363636363636363,39,0,0
Uruk | Iraq | Archaeolist,/sites/iraq/uruk,14,11,1.2727272727272727,6.090909090909091,39,0,0
Ethiopia Archaeological Sites | Archaeolist,/sites/ethiopia,13,11,1.1818181818181819,10.727272727272727,35,0,0
Malaysia Archaeological Sites | Archaeolist,/sites/malaysia,13,10,1.3,23.8,48,0,0
Mughal Tahakhana | Bangladesh | Archaeolist,/sites/bangladesh/mughal-tahakhana,13,4,3.25,0.75,27,0,0
Nazca lines | Peru | Archaeolist,/sites/peru/nazca-lines,13,9,1.4444444444444444,42,22,0,0
Tanzania Archaeological Sites | Archaeolist,/sites/tanzania,13,10,1.3,9.5,39,0,0
Zimbabwe Archaeological Sites | Archaeolist,/sites/zimbabwe,13,6,2.1666666666666665,25.666666666666668,34,0,0
the Dominican Republic Archaeological Sites | Archaeolist,/sites/the-dominican-republic,13,9,1.4444444444444444,20.88888888888889,38,0,0
Ban Non Wat | Thailand | Archaeolist,/sites/thailand/ban-non-wat,12,4,3,0,35,0,0
Kosovo Archaeological Sites | Archaeolist,/sites/kosovo,12,11,1.0909090909090908,3.909090909090909,33,0,0
Libya Archaeological Sites | Archaeolist,/sites/libya,12,9,1.3333333333333333,15.444444444444445,35,0,0
Morocco Archaeological Sites | Archaeolist,/sites/morocco,12,6,2,44.833333333333336,30,0,0
Sinauli | India | Archaeolist,/sites/india/sinauli,12,8,1.5,50.875,35,0,0
Arkaim | Russia | Archaeolist,/sites/russia/arkaim,11,8,1.375,35.125,32,0,0
Bab edh-Dhra | Jordan | Archaeolist,/sites/jordan/bab-edh-dhra,11,6,1.8333333333333333,3.3333333333333335,28,0,0
Gate of the Sun | Bolivia | Archaeolist,/sites/bolivia/gate-of-the-sun,11,10,1.1,13.2,36,0,0
Jiahu | China | Archaeolist,/sites/china/jiahu,11,11,1,37.18181818181818,44,0,0
Oman Archaeological Sites | Archaeolist,/sites/oman,11,9,1.2222222222222223,19,38,0,0
Rizal Archaeological Site (Kalinga) | the Philippines | Archaeolist,/sites/the-philippines/rizal-archaeological-site-kalinga,11,9,1.2222222222222223,17.11111111111111,41,0,0
Russia Archaeological Sites | Archaeolist,/sites/russia,11,9,1.2222222222222223,14,29,0,0
Bir Hima Rock Petroglyphs and Inscriptions | Saudi Arabia | Archaeolist,/sites/saudi-arabia/bir-hima-rock-petroglyphs-and-inscriptions,10,10,1,17.2,36,0,0
